Marketing,2020,318460.60,NULL,NULL
Marketing,2021,307054.10,318460.60,-3.581700
Marketing,2022,317693.26,307054.10,3.464900
Marketing,2023,307428.47,317693.26,-3.231000
Marketing,2024,310866.79,307428.47,1.118400
Office Supplies,2020,101419.67,NULL,NULL
Office Supplies,2021,114612.25,101419.67,13.007900
Office Supplies,2022,123896.63,114612.25,8.100600
Office Supplies,2023,123830.54,123896.63,-0.053300
Office Supplies,2024,101088.98,123830.54,-18.365000
Rent,2020,217600.00,NULL,NULL
Rent,2021,227200.00,217600.00,4.411700
Rent,2022,224000.00,227200.00,-1.408400
Rent,2023,230400.00,224000.00,2.857100
Rent,2024,198400.00,230400.00,-13.888800
Shipping,2020,24976.95,NULL,NULL
Shipping,2021,18742.70,24976.95,-24.960000
Shipping,2022,19629.13,18742.70,4.729400
Shipping,2023,20540.51,19629.13,4.642900
Shipping,2024,22315.42,20540.51,8.641000
Software,2020,299043.56,NULL,NULL
Software,2021,291588.12,299043.56,-2.493000
Software,2022,276067.72,291588.12,-5.322700
Software,2023,347613.37,276067.72,25.915900
Software,2024,306028.63,347613.37,-11.962900
Travel,2020,234029.46,NULL,NULL
Travel,2021,246718.01,234029.46,5.421700
Travel,2022,260627.40,246718.01,5.637700
Travel,2023,276272.96,260627.40,6.003000
Travel,2024,256691.17,276272.96,-7.087800
